LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
123	63	74	48.3	48.5	48.5	48.7	49.8	49.7	49.3	49.1	48.5	48.0	48.8	48.1	48.1	48.0	47.9	66.7	131.1	85.0	73.3	122.1	598.8	1298.7	1298.7	1587.3	1315.8	346.0	281.7	540.5	300.3	196.5	52.6	50.2
124	64	75	36.3	37.0	38.0	37.2	38.6	36.9	36.7	36.4	36.3	36.3	36.1	35.9	36.2	36.3	35.7	44.4	46.1	49.4	48.1	48.7	57.4	58.4	80.4	248.1	2000.0	2000.0	2000.0	2000.0	199.2	35.8	40.3	45.0
125	65	76	48.5	48.1	48.0	49.0	48.9	48.8	48.5	48.7	48.9	48.4	48.0	47.9	48.0	47.9	47.7	66.7	52.8	53.4	53.7	52.9	53.5	56.2	56.5	53.2	50.9	52.6	50.5	49.5	66.7	56.7	66.7	66.7
126	66	77	47.6	48.3	48.3	48.5	48.9	49.1	48.7	48.6	48.0	49.7	48.7	48.1	47.8	47.7	47.8	66.7	52.4	53.2	52.3	51.1	51.9	51.7	51.4	52.7	52.1	66.7	48.7	77.7	66.7	49.5	66.7	66.7
127	67	68	48.9	48.5	48.6	48.3	48.6	49.0	48.6	49.1	49.8	66.7	66.7	66.7	51.8	66.7	66.7	66.7	47.0	48.1	48.2	49.0	48.8	48.9	48.2	49.0	48.0	49.0	49.2	47.9	48.9	45.8	47.7	47.6
128	68	69	57.3	57.3	106.3	261.8	1136.4	2000.0	2000.0	2000.0	2000.0	2000.0	1851.9	66.7	66.7	66.7	66.7	66.7	48.6	48.1	48.6	49.0	48.9	50.0	49.4	48.9	48.9	48.5	48.8	48.4	49.2	47.6	48.6	47.3
129	69	70	48.1	48.3	48.3	48.4	48.4	49.8	48.5	48.6	48.6	48.3	48.2	66.7	45.8	66.7	49.2	66.7	60.1	60.6	97.1	181.5	387.6	1234.6	1960.8	2000.0	2000.0	1351.4	254.4	50.4	49.7	50.6	50.7	51.6
130	70	71	48.2	48.4	48.4	48.3	48.1	48.3	48.4	48.0	47.8	47.6	47.8	48.5	66.7	66.7	66.7	66.7	47.9	48.0	48.0	48.4	48.5	48.6	48.4	48.4	48.4	47.4	47.5	47.9	47.8	48.2	47.4	47.5
131	71	72	59.6	91.7	512.8	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	48.2	48.4	48.4	48.8	49.0	49.2	48.8	49.4	47.7	48.4	48.4	48.5	48.7	49.4	48.9	47.8
132	72	73	48.3	48.8	48.5	48.5	48.7	48.2	48.3	48.8	111.2	60.5	47.8	48.8	49.2	66.7	50.1	48.6	63.5	114.5	384.6	1449.3	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0
133	73	74	48.5	48.3	48.3	48.2	48.2	48.4	48.2	48.2	48.0	47.9	47.7	47.8	47.2	47.0	47.3	48.1	48.4	48.3	48.6	49.2	48.7	48.7	48.1	72.9	1724.1	1639.3	47.8	46.7	47.3	47.0	47.6	66.7
134	74	75	63.8	71.4	210.1	568.2	869.6	303.0	63.0	60.5	51.5	49.7	51.0	60.5	50.8	51.6	66.7	50.4	48.2	49.0	48.7	49.1	48.8	48.9	48.4	48.3	47.8	47.2	47.8	47.8	47.8	47.7	47.9	66.7
