METADATA	Wed Dec 11 15:07:58 2013	BOX_LENGTH	0	CELL_LENGTH	7.5	SAMPLE_TIME	1	INCREMENT	86400	NUM_BINS	6	VEHICLE_TYPE	0	VEHICLE_SUBTYPE	0
LINK	DIR	OFFSET	TIME	SPEED0	SPEED1	SPEED2	SPEED3	SPEED4	SPEED5
195	0	1000.0	24:00	91	215	6077	22575	112	0
195	1	1000.0	24:00	2911	1728	5689	21480	0	0
196	0	1000.0	24:00	53	131	4800	19131	0	0
196	1	1000.0	24:00	102	129	4562	17732	0	0
197	0	1000.0	24:00	1320	1202	4840	18186	0	0
197	1	1000.0	24:00	89	206	4305	15819	80	0
198	0	1000.0	24:00	113	308	6843	25757	174	0
198	1	1000.0	24:00	2997	1691	4927	18694	0	0
199	0	1000.0	24:00	53	169	3369	13074	0	0
199	1	1000.0	24:00	77	71	2556	9680	0	0
200	0	1000.0	24:00	65	139	1934	7682	0	0
200	1	1000.0	24:00	5	18	1218	4930	0	0
201	0	1000.0	24:00	67	168	3130	12326	0	0
201	1	1000.0	24:00	49	56	2412	9541	0	0
202	0	1000.0	24:00	168	282	422	7132	26045	0
202	1	1000.0	24:00	154	208	853	5665	18803	0
203	0	1000.0	24:00	65	135	3171	12572	0	0
203	1	1000.0	24:00	35	56	2309	9338	0	0
204	0	1000.0	24:00	55	134	3120	11867	0	0
204	1	1000.0	24:00	53	56	2508	9954	0	0
205	0	1000.0	24:00	114	204	357	6323	23538	0
205	1	1000.0	24:00	90	230	950	6352	20965	0
206	0	1000.0	24:00	55	131	3078	11735	0	0
206	1	1000.0	24:00	16	35	2822	11243	0	0
207	0	1000.0	24:00	61	126	3044	11602	0	0
207	1	1000.0	24:00	26	46	2579	10136	0	0
208	0	1000.0	24:00	104	204	365	6524	23803	0
208	1	1000.0	24:00	9	168	900	5912	19543	0
209	0	1000.0	24:00	54	166	3373	12923	0	0
209	1	1000.0	24:00	20	37	2648	10288	0	0
210	0	1000.0	24:00	68	128	2097	8335	0	0
210	1	1000.0	24:00	1	11	1475	5829	0	0
211	0	1000.0	24:00	5	9	1374	5421	0	0
211	1	1000.0	24:00	58	148	1878	7262	0	0
212	0	1000.0	24:00	748	1076	3100	11541	0	0
212	1	1000.0	24:00	73	232	4203	15540	129	0
213	0	1000.0	24:00	37	128	2942	11019	72	0
213	1	1000.0	24:00	469	691	2797	10759	0	0
214	0	1000.0	24:00	21	58	3138	12051	0	0
214	1	1000.0	24:00	58	102	3056	12539	0	0
215	0	1000.0	24:00	772	1096	3675	13804	0	0
215	1	1000.0	24:00	55	138	3677	13922	86	0
216	0	1000.0	24:00	40	157	3996	15214	107	0
216	1	1000.0	24:00	755	1000	3321	13273	0	0
217	0	1000.0	24:00	32	104	3455	13030	0	0
217	1	1000.0	24:00	44	66	2903	11720	0	0
218	0	1000.0	24:00	527	755	2820	11553	0	0
218	1	1000.0	24:00	35	108	2807	10825	71	0
219	0	1000.0	24:00	48	193	4195	15464	127	0
219	1	1000.0	24:00	823	1122	3374	13278	0	0
220	0	1000.0	24:00	60	156	2007	7934	0	0
220	1	1000.0	24:00	18	31	1671	6237	0	0
