LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
75	35	46	0.72	0.72	0.72	0.72	0.72	0.73	0.73	0.73	0.71	0.74	0.74	0.70	1.00	0.77	1.00	0.81	0.71	0.72	0.72	0.71	0.71	0.73	0.73	0.73	0.72	0.73	0.73	0.72	0.72	0.72	0.73	0.73
76	36	47	0.80	0.81	0.80	0.81	0.81	0.83	0.81	0.81	0.82	0.79	0.80	1.21	0.94	1.00	0.90	1.00	0.83	0.83	0.81	0.81	0.81	0.81	0.83	0.83	0.80	0.80	0.81	0.80	0.80	0.80	0.81	0.80
77	37	48	0.72	0.72	0.72	0.72	0.72	0.73	0.73	0.72	0.73	0.71	0.72	1.00	0.76	0.78	0.77	1.00	0.72	0.73	0.72	0.71	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.74	0.73	0.73
78	38	49	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.71	0.71	0.72	0.72	0.75	0.74	1.00	1.00	0.72	0.72	0.72	0.72	0.71	0.72	0.73	0.72	0.73	0.72	0.72	0.73	0.72	0.72	0.72	0.72
79	39	50	0.81	0.82	0.82	2.87	31.28	21.66	18.93	11.98	5.78	0.79	0.80	0.80	1.00	1.00	1.00	1.00	0.83	0.83	0.83	3.82	8.87	8.04	1.61	0.82	0.81	0.85	0.80	0.80	0.80	0.80	0.80	0.80
80	40	51	0.72	0.72	0.72	0.72	0.72	0.73	0.73	0.72	0.72	0.71	0.72	0.72	0.73	0.72	0.68	1.00	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.73	0.73
81	41	52	0.73	0.72	0.72	0.73	0.72	0.72	0.73	0.72	0.72	3.24	5.95	5.70	0.72	0.80	1.00	1.00	0.72	0.72	0.72	0.72	0.71	0.73	0.73	0.73	0.72	0.73	0.72	0.72	0.72	0.72	0.75	0.74
82	42	53	0.81	0.80	0.81	6.57	45.05	45.05	45.05	45.05	45.05	45.05	45.05	38.17	19.76	5.30	1.00	1.00	0.85	0.81	0.82	0.81	0.81	1.04	1.62	1.68	2.51	0.81	1.19	1.29	3.84	0.83	0.81	0.79
83	43	54	0.72	0.73	0.72	0.73	0.72	0.73	0.73	0.72	0.72	0.74	0.72	0.72	0.73	0.74	0.74	1.00	0.71	0.72	0.72	0.72	0.71	0.73	0.72	0.73	0.71	0.72	0.75	0.73	0.73	0.74	0.72	0.72
84	44	55	0.73	0.72	0.73	0.72	0.72	0.73	0.73	0.72	0.72	0.74	0.72	0.72	0.71	0.75	0.74	1.00	0.72	0.72	0.72	0.71	0.71	0.76	0.72	0.73	0.72	0.74	0.75	0.73	0.75	0.73	0.73	0.72
85	45	46	0.73	0.73	0.73	0.74	0.74	0.73	0.73	0.72	0.69	0.72	0.70	0.80	1.00	1.00	0.72	0.80	0.72	0.72	0.72	0.71	0.72	0.73	0.73	0.74	0.73	0.73	0.73	0.73	0.73	0.71	0.74	0.73
86	46	47	0.90	1.16	1.23	1.44	1.18	1.49	1.89	1.00	0.75	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.72	0.73	0.73	0.72	0.73	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.72
87	47	48	0.72	0.73	0.72	0.73	0.72	0.73	0.72	0.72	0.72	0.72	0.72	0.71	1.00	0.74	0.70	0.73	0.88	0.90	1.16	1.12	0.85	1.09	1.13	0.91	0.83	0.79	0.81	0.77	0.76	0.75	0.75	0.76
88	48	49	0.72	0.72	0.73	0.73	0.72	0.72	0.73	0.73	0.74	0.72	0.72	0.72	0.77	1.00	1.00	1.00	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.71
89	49	50	1.02	1.42	1.99	7.61	25.85	29.40	29.99	29.99	29.99	10.13	0.77	0.83	0.81	0.79	1.00	0.73	0.72	0.72	0.72	0.72	0.74	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72
90	50	51	0.72	0.72	0.73	0.73	0.73	0.73	0.74	0.74	0.73	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.93	2.41	2.35	6.85	19.22	24.18	29.99	29.99	24.58	6.17	0.82	0.85	0.81	0.76	0.86	0.72
91	51	52	0.72	0.72	0.73	0.72	0.72	0.72	0.73	0.73	0.72	5.59	13.51	1.57	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.72	0.71	0.72	0.72	0.73	0.72	0.72	1.00
92	52	53	0.87	0.96	0.93	3.36	12.92	26.77	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.40	11.27	0.77	0.72	0.72	0.73	0.72	0.72	0.73	0.73	0.73	0.73	0.72	0.86	0.79	0.73	0.73	0.71	1.00
93	53	54	0.72	0.72	0.73	0.73	0.73	0.73	0.74	0.73	0.73	0.74	0.74	0.74	0.74	0.74	0.73	0.72	0.82	1.02	4.25	7.24	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	29.99	6.02	1.00
94	54	55	0.71	0.73	0.71	0.72	0.72	0.72	0.73	0.73	0.72	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.72	0.73	0.72	0.72	0.72	0.73	0.73	0.73	0.70	1.00	1.00	1.00	0.70	0.74	1.00	1.00
95	45	56	0.78	0.79	0.78	0.79	0.78	0.77	0.79	0.79	0.78	1.00	0.75	1.00	1.00	1.00	0.79	1.00	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.74	0.72	0.72	0.72	0.73	0.73	0.73	0.75	0.73
