ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
586	293	PARKING	293	ACTIVITY	0	0
587	294	ACTIVITY	294	PARKING	0	0
588	294	PARKING	294	ACTIVITY	0	0
589	295	ACTIVITY	295	PARKING	0	0
590	295	PARKING	295	ACTIVITY	0	0
591	296	ACTIVITY	296	PARKING	0	0
592	296	PARKING	296	ACTIVITY	0	0
593	297	ACTIVITY	297	PARKING	0	0
594	297	PARKING	297	ACTIVITY	0	0
595	298	ACTIVITY	298	PARKING	0	0
596	298	PARKING	298	ACTIVITY	0	0
597	299	ACTIVITY	299	PARKING	0	0
598	299	PARKING	299	ACTIVITY	0	0
599	300	ACTIVITY	300	PARKING	0	0
600	300	PARKING	300	ACTIVITY	0	0
601	301	ACTIVITY	301	PARKING	0	0
602	301	PARKING	301	ACTIVITY	0	0
603	302	ACTIVITY	302	PARKING	0	0
604	302	PARKING	302	ACTIVITY	0	0
605	303	ACTIVITY	303	PARKING	0	0
606	303	PARKING	303	ACTIVITY	0	0
607	304	ACTIVITY	304	PARKING	0	0
608	304	PARKING	304	ACTIVITY	0	0
609	305	ACTIVITY	305	PARKING	0	0
610	305	PARKING	305	ACTIVITY	0	0
611	306	ACTIVITY	306	PARKING	0	0
612	306	PARKING	306	ACTIVITY	0	0
613	307	ACTIVITY	307	PARKING	0	0
614	307	PARKING	307	ACTIVITY	0	0
615	308	ACTIVITY	308	PARKING	0	0
616	308	PARKING	308	ACTIVITY	0	0
617	309	ACTIVITY	309	PARKING	0	0
618	309	PARKING	309	ACTIVITY	0	0
619	310	ACTIVITY	310	PARKING	0	0
620	310	PARKING	310	ACTIVITY	0	0
621	311	ACTIVITY	311	PARKING	0	0
622	311	PARKING	311	ACTIVITY	0	0
623	312	ACTIVITY	312	PARKING	0	0
624	312	PARKING	312	ACTIVITY	0	0
625	313	ACTIVITY	313	PARKING	0	0
626	313	PARKING	313	ACTIVITY	0	0
627	314	ACTIVITY	314	PARKING	0	0
628	314	PARKING	314	ACTIVITY	0	0
629	315	ACTIVITY	315	PARKING	0	0
630	315	PARKING	315	ACTIVITY	0	0
631	316	ACTIVITY	316	PARKING	0	0
632	316	PARKING	316	ACTIVITY	0	0
633	317	ACTIVITY	317	PARKING	0	0
634	317	PARKING	317	ACTIVITY	0	0
635	318	ACTIVITY	318	PARKING	0	0
636	318	PARKING	318	ACTIVITY	0	0
637	319	ACTIVITY	319	PARKING	0	0
638	319	PARKING	319	ACTIVITY	0	0
639	320	ACTIVITY	320	PARKING	0	0
